Title,Open,High,Low,Last,Volume,Tick Vol,Open Int,Bid,Ask,Bid/Ask Spread,Net,Dys Left,Time Val.,Intrin.Val.,Type
AAPL Sep14 90 Call,12.00,12.30,12.00,12.00,10,0,2830,11.85,12.05,0.20,+0.37,25,0.30,11.69,Call
AAPL Sep14 90 Call,11.53,11.74,11.45,11.65,219,0,303,11.70,11.85,0.15,+0.35,25,-0.04,11.69,Call
AAPL Sep14 91 Call,11.06,11.20,11.06,11.20,11,0,164,10.90,11.00,0.10,+0.8,25,0.50,10.69,Call
AAPL Sep14 91 Call,10.74,10.74,10.74,10.74,60,0,198,10.75,10.95,0.20,+1.25,25,0.04,10.69,Call
AAPL Sep14 91 Call,10.00,10.00,10.00,10.00,0,0,119,10.90,11.10,0.20,+1.15,25,-0.69,10.69,Call
AAPL Sep14 91 Call,10.62,10.62,10.62,10.62,2,0,101,10.70,10.85,0.15,+1.32,25,-0.07,10.69,Call
AAPL Sep14 92 Call,10.02,10.18,9.80,9.80,86,0,2797,9.85,10.00,0.15,+0.25,25,0.10,9.69,Call
AAPL Sep14 92 Call,10.20,10.20,10.00,10.00,13,0,259,10.00,10.15,0.15,+0.35,25,0.30,9.69,Call
AAPL Sep14 92 Call,10.00,10.00,10.00,10.00,1,0,412,9.75,9.85,0.10,+0.77,25,0.30,9.69,Call
AAPL Sep14 92.5 Call,9.65,9.90,9.29,9.51,790,0,24391,9.45,9.60,0.15,+0.31,25,0.31,9.19,Call
AAPL Sep14 93 Call,8.90,9.19,8.90,9.19,3,0,1209,8.85,9.00,0.15,+0.59,25,0.49,8.69,Call
AAPL Sep14 93 Call,8.50,8.50,8.50,8.50,0,0,114,9.05,9.25,0.20,+0.01,25,-0.19,8.69,Call
AAPL Sep14 93 Call,8.19,8.25,8.19,8.25,0,0,830,8.75,8.85,0.10,+0.45,25,-0.44,8.69,Call
AAPL Sep14 94 Call,8.00,8.25,7.89,8.06,255,0,1392,8.05,8.19,0.15,+0.35,25,0.36,7.69,Call
AAPL Sep14 94 Call,8.15,8.30,8.05,8.05,181,0,2579,7.95,8.05,0.10,+0.26,25,0.35,7.69,Call
AAPL Sep14 94 Call,8.40,8.55,8.40,8.40,63,0,342,8.15,8.35,0.20,+0.8,25,0.70,7.69,Call
AAPL Sep14 94 Call,8.25,8.25,7.72,8.13,104,0,1962,7.75,7.85,0.10,+0.73,25,0.43,7.69,Call
AAPL Sep14 95 Call,7.29,7.65,6.90,7.22,3292,0,47429,7.20,7.30,0.10,+0.27,25,0.52,6.69,Call
AAPL Sep14 95 Call,7.20,7.45,6.80,6.95,554,0,16806,6.95,7.15,0.20,+0.15,25,0.25,6.69,Call
AAPL Sep14 95 Call,7.80,7.80,7.25,7.25,153,0,1448,7.35,7.50,0.15,+0.22,25,0.55,6.69,Call
AAPL Sep14 95 Call,6.95,7.30,6.50,6.76,384,0,4171,6.75,6.90,0.15,+0.26,25,0.06,6.69,Call
AAPL Sep14 96 Call,6.43,6.64,6.22,6.35,275,0,799,6.30,6.45,0.15,+0.25,25,0.65,5.69,Call
AAPL Sep14 96 Call,6.40,6.50,6.00,6.15,63,0,2127,6.10,6.25,0.15,+0.35,25,0.45,5.69,Call
AAPL Sep14 96 Call,6.75,6.84,6.55,6.84,7,0,994,6.50,6.65,0.15,+0.67,25,1.14,5.69,Call
AAPL Sep14 96 Call,6.05,6.30,5.70,5.70,156,0,4280,5.80,5.90,0.10,+0.1,25,0.00,5.69,Call
AAPL Sep14 97 Call,5.60,5.60,5.10,5.23,442,0,14088,5.25,5.40,0.15,+0.28,25,0.53,4.69,Call
AAPL Sep14 97 Call,5.85,6.09,5.50,5.67,252,0,997,5.70,5.85,0.15,+0.12,25,0.97,4.69,Call
AAPL Sep14 97 Call,5.03,5.30,4.65,4.75,454,0,7496,4.85,4.95,0.10,+0.13,25,0.05,4.69,Call
AAPL Sep14 97.5 Call,5.20,5.55,4.85,5.20,1738,0,51391,5.10,5.20,0.10,+0.25,25,1.00,4.19,Call
AAPL Sep14 98 Call,4.55,4.88,4.35,4.49,1550,0,4102,4.45,4.60,0.15,+0.19,25,0.79,3.69,Call
AAPL Sep14 98 Call,5.30,5.45,4.85,5.05,358,0,1297,5.00,5.15,0.15,+0.35,25,1.35,3.69,Call
AAPL Sep14 98 Call,4.00,4.40,3.70,3.95,3255,0,6385,3.90,4.05,0.15,+0.2,25,0.25,3.69,Call
AAPL Sep14 99 Call,4.20,4.40,3.85,4.05,658,0,3647,4.05,4.15,0.10,+0.16,25,1.35,2.69,Call
AAPL Sep14 99 Call,3.90,4.09,3.59,3.70,967,0,27810,3.70,3.85,0.15,+0.15,25,1.00,2.69,Call
AAPL Sep14 99 Call,4.49,4.65,4.05,4.35,128,0,1589,4.30,4.45,0.15,+0.21,25,1.65,2.69,Call
AAPL Sep14 99 Call,3.15,3.51,2.85,2.96,599,0,5754,3.05,3.20,0.15,-0.02,25,0.26,2.69,Call
AAPL7 Sep14 100 Call,3.50,3.65,3.44,3.44,19,0,5832,3.40,3.50,0.10,+0.24,25,1.74,1.69,Call
AAPL7 Sep14 100 Call,3.10,3.10,3.10,3.10,6,0,46,2.81,3.50,0.69,+0.19,25,1.40,1.69,Call
AAPL7 Sep14 100 Call,3.30,3.30,3.30,3.30,0,0,199,3.45,4.20,0.75,+0.2,25,1.60,1.69,Call
AAPL7 Sep14 100 Call,2.67,2.67,2.67,2.67,1,0,38,2.00,2.82,0.82,+0.85,25,0.97,1.69,Call
AAPL7 Sep14 101 Call,2.13,2.13,2.13,2.13,0,0,19,1.25,2.86,1.61,-0.07,25,1.43,0.69,Call
AAPL7 Sep14 101 Call,1.65,2.28,1.65,2.28,0,0,16,2.90,3.55,0.65,+0.77,25,1.58,0.69,Call
AAPL7 Sep14 101 Call,2.06,2.06,2.06,2.06,6,0,45,1.32,2.11,0.79,+0.97,25,1.37,0.69,Call
AAPL7 Sep14 102 Call,2.06,2.14,2.06,2.11,11,0,77,1.76,2.10,0.34,+0.55,25,2.11,0.00,Call
AAPL7 Sep14 102 Call,2.72,2.72,2.72,2.72,2,0,4,2.43,2.96,0.53,+0.32,25,2.72,0.00,Call
AAPL7 Sep14 102 Call,1.26,1.26,1.06,1.06,6,0,122,0.96,1.52,0.56,-0.05,25,1.06,0.00,Call
AAPL7 Sep14 103 Call,1.55,1.68,1.55,1.55,17,0,53,1.34,1.80,0.46,+0.05,25,1.54,0.00,Call
AAPL7 Sep14 103 Call,2.04,2.04,2.00,2.00,0,0,28,2.00,2.48,0.48,+0.2,25,2.00,0.00,Call
AAPL7 Sep14 103 Call,0.60,0.60,0.60,0.60,0,0,5,0.62,1.00,0.38,+0.33,25,0.60,0.00,Call
AAPL7 Sep14 104 Call,0.98,0.98,0.98,0.98,0,0,18,1.01,1.39,0.38,-0.19,25,0.98,0.00,Call
AAPL7 Sep14 104 Call,1.60,1.60,1.60,1.60,0,0,61,1.63,2.06,0.44,+0.15,25,1.60,0.00,Call
AAPL7 Sep14 104 Call,,,,,,0,0,0.37,0.70,0.33,,25,-1.00,0.00,Call
AAPL7 Sep14 105 Call,1.26,1.26,1.09,1.20,18,0,538,1.15,1.22,0.07,+0.16,25,1.20,0.00,Call
AAPL7 Sep14 105 Call,0.96,1.02,0.96,1.02,105,0,7,0.76,1.02,0.26,+0.12,25,1.02,0.00,Call
AAPL7 Sep14 105 Call,1.25,1.25,1.25,1.25,0,0,7,1.32,1.72,0.40,+0.36,25,1.25,0.00,Call
AAPL7 Sep14 105 Call,0.25,0.25,0.25,0.25,2,0,2,0.21,0.44,0.23,-0.16,25,0.25,0.00,Call
AAPL7 Sep14 106 Call,,,,,,0,0,0.56,0.85,0.28,,25,-1.00,0.00,Call
AAPL7 Sep14 106 Call,1.05,1.05,1.05,1.05,0,0,11,1.05,1.42,0.37,-0.1,25,1.05,0.00,Call
AAPL7 Sep14 106 Call,,,,,,0,0,0.01,0.28,0.28,,25,-1.00,0.00,Call
AAPL7 Sep14 107 Call,,,,,,0,0,0.40,0.66,0.26,,25,-1.00,0.00,Call
AAPL7 Sep14 107 Call,1.00,1.01,1.00,1.01,15,0,9,0.83,1.09,0.26,+0.21,25,1.01,0.00,Call
AAPL7 Sep14 107 Call,,,,,,0,0,0.06,0.46,0.40,,25,-1.00,0.00,Call
AAPL7 Sep14 108 Call,,,,,,0,0,0.27,0.52,0.25,,25,-1.00,0.00,Call
AAPL7 Sep14 108 Call,,,,,,0,0,0.63,0.96,0.33,,25,-1.00,0.00,Call
AAPL7 Sep14 108 Call,,,,,,0,0,0.02,0.38,0.36,,25,-1.00,0.00,Call
AAPL7 Sep14 109 Call,,,,,,0,0,0.18,0.41,0.23,,25,-1.00,0.00,Call
AAPL7 Sep14 109 Call,,,,,,0,0,0.48,0.73,0.25,,25,-1.00,0.00,Call
AAPL7 Sep14 109 Call,,,,,,0,0,,0.13,,,25,-1.00,0.00,Call
AAPL7 Sep14 110 Call,0.35,0.39,0.30,0.30,40,0,398,0.30,0.35,0.05,-0.02,25,0.30,0.00,Call
AAPL7 Sep14 110 Call,,,,,,0,0,0.11,0.75,0.64,,25,-1.00,0.00,Call
AAPL7 Sep14 110 Call,0.41,0.41,0.41,0.41,0,0,21,0.36,0.66,0.30,+0,25,0.41,0.00,Call
AAPL7 Sep14 110 Call,0.25,0.25,0.25,0.25,0,0,1,0.01,0.33,0.32,+0,25,0.25,0.00,Call
AAPL7 Sep14 111 Call,,,,,,0,0,0.05,0.70,0.65,,25,-1.00,0.00,Call
AAPL7 Sep14 111 Call,,,,,,0,0,,0.31,,,25,-1.00,0.00,Call
AAPL7 Sep14 112 Call,,,,,,0,0,0.01,0.24,0.23,,25,-1.00,0.00,Call
AAPL7 Sep14 113 Call,,,,,,0,0,,0.21,,,25,-1.00,0.00,Call
AAPL7 Sep14 114 Call,,,,,,0,0,,0.20,,,25,-1.00,0.00,Call
AAPL7 Sep14 115 Call,0.08,0.08,0.08,0.08,3,0,36,0.08,0.10,0.02,-0.02,25,0.08,0.00,Call
AAPL7 Sep14 115 Call,,,,,,0,0,,0.19,,,25,-1.00,0.00,Call
AAPL7 Sep14 120 Call,0.08,0.08,0.08,0.08,3,0,0,0.01,0.08,0.07,+0,25,0.08,0.00,Call
AAPL7 Sep14 125 Call,,,,,,0,0,,0.07,,,25,-1.00,0.00,Call
AAPL7 Sep14 130 Call,,,,,,0,0,,0.06,,,25,-1.00,0.00,Call
AAPL7 Sep14 135 Call,,,,,,0,0,,0.05,,,25,-1.00,0.00,Call
AAPL7 Sep14 140 Call,,,,,,0,0,,0.05,,,25,-1.00,0.00,Call
AAPL7 Sep14 50 Call,50.05,50.05,50.05,50.05,0,0,1,49.50,53.80,4.30,+0,25,-1.64,51.69,Call
AAPL7 Sep14 55 Call,,,,,,0,0,44.30,48.80,4.50,,25,-47.69,46.69,Call
AAPL7 Sep14 60 Call,,,,,,0,0,39.35,43.80,4.45,,25,-42.69,41.69,Call
AAPL7 Sep14 65 Call,,,,,,0,0,34.50,38.80,4.30,,25,-37.69,36.69,Call
AAPL7 Sep14 70 Call,28.20,28.20,28.20,28.20,0,0,4,29.40,33.90,4.50,+0,25,-3.49,31.69,Call
AAPL7 Sep14 75 Call,25.55,25.55,25.55,25.55,0,0,381,24.50,28.85,4.35,-1,25,-1.14,26.69,Call
AAPL7 Sep14 80 Call,,,,,,0,0,20.70,22.65,1.95,,25,-22.69,21.69,Call
AAPL7 Sep14 85 Call,10.90,10.90,10.90,10.90,0,0,0,15.75,17.70,1.95,+0.3,25,-5.79,16.69,Call
AAPL7 Sep14 86 Call,,,,,,0,0,13.75,17.90,4.15,,25,-16.69,15.69,Call
AAPL7 Sep14 86 Call,9.00,9.00,9.00,9.00,0,0,20,14.35,17.75,3.40,-0.6,25,-6.69,15.69,Call
AAPL7 Sep14 86 Call,,,,,,0,0,13.75,17.80,4.05,,25,-16.69,15.69,Call
AAPL7 Sep14 87 Call,,,,,,0,0,12.70,16.89,4.20,,25,-15.69,14.69,Call
AAPL7 Sep14 87 Call,,,,,,0,0,13.20,16.89,3.70,,25,-15.69,14.69,Call
AAPL7 Sep14 87 Call,,,,,,0,0,12.70,16.85,4.15,,25,-15.69,14.69,Call
AAPL7 Sep14 88 Call,,,,,,0,0,11.80,15.90,4.09,,25,-14.69,13.69,Call
AAPL7 Sep14 88 Call,,,,,,0,0,12.45,15.75,3.30,,25,-14.69,13.69,Call
AAPL7 Sep14 88 Call,,,,,,0,0,11.70,15.85,4.15,,25,-14.69,13.69,Call
AAPL7 Sep14 89 Call,,,,,,0,0,10.80,14.90,4.09,,25,-13.69,12.69,Call
AAPL7 Sep14 89 Call,8.66,8.66,8.66,8.66,0,0,1,11.45,14.75,3.30,+0,25,-4.03,12.69,Call
AAPL7 Sep14 89 Call,,,,,,0,0,10.75,14.85,4.09,,25,-13.69,12.69,Call
AAPL7 Sep14 90 Call,11.90,11.95,11.90,11.95,5,0,21,11.25,12.50,1.25,+2,25,0.25,11.69,Call
AAPL7 Sep14 90 Call,,,,,,0,0,9.80,13.95,4.15,,25,-12.69,11.69,Call
AAPL7 Sep14 90 Call,,,,,,0,0,10.40,13.85,3.45,,25,-12.69,11.69,Call
AAPL7 Sep14 90 Call,,,,,,0,0,9.75,13.85,4.09,,25,-12.69,11.69,Call
AAPL7 Sep14 91 Call,,,,,,0,0,8.80,12.95,4.15,,25,-11.69,10.69,Call
AAPL7 Sep14 91 Call,,,,,,0,0,9.50,13.10,3.60,,25,-11.69,10.69,Call
AAPL7 Sep14 91 Call,6.46,6.46,6.46,6.46,0,0,17,8.80,12.85,4.05,+1.66,25,-4.23,10.69,Call
AAPL7 Sep14 92 Call,4.50,4.50,4.50,4.50,0,0,4,8.40,11.90,3.50,+0,25,-5.19,9.69,Call
AAPL7 Sep14 92 Call,,,,,,0,0,8.60,11.80,3.20,,25,-10.69,9.69,Call
AAPL7 Sep14 92 Call,6.50,6.50,6.50,6.50,0,0,33,8.10,11.90,3.80,+1.03,25,-3.19,9.69,Call
AAPL7 Sep14 93 Call,,,,,,0,0,7.00,10.95,3.95,,25,-9.69,8.69,Call
AAPL7 Sep14 93 Call,,,,,,0,0,7.80,10.95,3.15,,25,-9.69,8.69,Call
AAPL7 Sep14 93 Call,,,,,,0,0,6.70,10.85,4.15,,25,-9.69,8.69,Call
AAPL7 Sep14 94 Call,3.40,3.40,3.40,3.40,0,0,3,6.30,10.00,3.70,+0,25,-4.29,7.69,Call
AAPL7 Sep14 94 Call,,,,,,0,0,7.60,9.25,1.65,,25,-8.69,7.69,Call
AAPL7 Sep14 94 Call,,,,,,0,0,5.80,9.90,4.09,,25,-8.69,7.69,Call
AAPL7 Sep14 95 Call,7.50,7.50,7.10,7.50,3,0,206,6.85,7.50,0.65,+1.1,25,0.80,6.69,Call
AAPL7 Sep14 95 Call,5.90,5.90,5.90,5.90,0,0,7,5.50,8.90,3.40,+1.7,25,-0.79,6.69,Call
AAPL7 Sep14 95 Call,5.05,5.05,5.05,5.05,0,0,1,6.80,8.35,1.55,+0,25,-1.64,6.69,Call
AAPL7 Sep14 95 Call,6.53,6.53,6.53,6.53,0,0,20,5.40,8.90,3.50,+0.78,25,-0.16,6.69,Call
AAPL7 Sep14 96 Call,5.05,5.05,5.05,5.05,0,0,5,4.95,6.90,1.95,+2,25,-0.64,5.69,Call
AAPL7 Sep14 96 Call,6.14,6.14,6.14,6.14,0,0,6,6.05,7.40,1.35,+0,25,0.44,5.69,Call
AAPL7 Sep14 96 Call,4.85,4.85,4.80,4.80,0,0,164,4.40,7.65,3.25,+2.39,25,-0.89,5.69,Call
AAPL7 Sep14 97 Call,3.65,3.65,3.65,3.65,0,0,14,4.90,5.80,0.90,+0.66,25,-1.04,4.69,Call
AAPL7 Sep14 97 Call,4.25,4.25,4.25,4.25,0,0,5,5.35,6.50,1.15,+0,25,-0.44,4.69,Call
AAPL7 Sep14 97 Call,5.20,5.20,5.00,5.00,9,0,327,4.50,5.00,0.50,+1,25,0.30,4.69,Call
AAPL7 Sep14 98 Call,3.60,4.50,3.60,4.50,0,0,14,4.15,5.10,0.95,+1.5,25,0.80,3.69,Call
AAPL7 Sep14 98 Call,5.35,5.35,5.35,5.35,1,0,2,4.70,5.50,0.80,+2.15,25,1.65,3.69,Call
AAPL7 Sep14 98 Call,3.55,3.55,3.55,3.55,0,0,158,3.55,4.55,1.00,+0.2,25,-0.14,3.69,Call
AAPL7 Sep14 99 Call,2.10,2.10,2.10,2.10,0,0,50,3.45,4.25,0.80,+0.17,25,-0.59,2.69,Call
AAPL7 Sep14 99 Call,3.60,4.00,3.60,4.00,0,0,35,4.05,4.95,0.90,+1.1,25,1.30,2.69,Call
AAPL7 Sep14 99 Call,2.47,2.47,2.40,2.40,0,0,30,2.50,3.60,1.10,+0.92,25,-0.29,2.69,Call
